0, 0.001953,-0.001953,0,7127.01
0.011, 0.001953,-0.001953,-0.001953,7127.01
0.029, 0.001953,-0.001953,0,7127.01
0.059, 0.003906,0,0.001953,7127.24
0.069, 0.005859,-0.001953,0.001953,7127.24
0.071, 0.001953,-0.001953,0.001953,7127.24
0.092, 0.000000,0,0,7127.24
0.102, 0.001953,-0.001953,-0.001953,7127.24
0.123, 0.001953,-0.001953,-0.001953,7127.24
0.134, 0.003906,0,0,7126.73
0.155,-0.001953,-0.001953,0.003906,7126.73
0.177, 0.001953,0.001953,-0.001953,7126.73
0.188, 0.003906,-0.001953,0,7126.73
0.198, 0.000000,-0.001953,-0.001953,7126.73
0.218, 0.001953,-0.003906,0.001953,7126.73
0.23, 0.001953,-0.001953,-0.001953,7127.07
0.252, 0.003906,0.001953,-0.001953,7127.07
0.262, 0.001953,-0.001953,0.001953,7127.07
0.283, 0.001953,-0.001953,-0.001953,7127.07
0.294, 0.003906,0,0,7127.07
0.315, 0.001953,0,-0.003906,7127.07
0.326, 0.001953,-0.003906,0,7126.4
0.348, 0.003906,0,0,7126.4
0.359,-0.001953,0.001953,0.003906,7126.4
0.38, 0.001953,-0.003906,0.001953,7126.4
0.39, 0.001953,0,0.001953,7126.4
0.411, 0.001953,-0.001953,0.001953,7126.4
0.422, 0.001953,0.001953,0,7126.23
0.442, 0.003906,-0.001953,-0.001953,7126.23
0.462, 0.000000,-0.001953,0.001953,7126.23
0.474, 0.000000,-0.003906,-0.001953,7126.23
0.495, 0.003906,-0.001953,0,7126.23
0.506, 0.003906,0,0,7126.23
0.527, 0.001953,0,-0.003906,7126.79
0.537, 0.000000,0,0.001953,7126.68
0.558, 0.003906,-0.001953,0.001953,7126.68
0.568,-0.001953,-0.001953,-0.001953,7126.68
0.59, 0.000000,-0.001953,0,7126.68
0.6, 0.000000,-0.001953,-0.001953,7126.68
0.621, 0.001953,-0.001953,-0.001953,7127.29
0.632, 0.003906,-0.003906,-0.001953,7127.4
0.652, 0.001953,-0.003906,0.001953,7127.4
0.663,-0.001953,0.001953,0,7127.4
0.685, 0.001953,-0.001953,0,7127.4
0.695, 0.000000,-0.001953,0,7127.4
0.716, 0.001953,0,0.001953,7127.4
0.728, 0.005859,-0.001953,-0.001953,7126.96
0.749, 0.001953,0,0.001953,7126.96
0.76,-0.001953,-0.001953,0.001953,7126.96
0.77, 0.001953,0,-0.001953,7126.96
0.791, 0.005859,-0.001953,0,7126.96
0.812, 0.000000,0.001953,-0.001953,7126.96
0.823, 0.001953,-0.001953,0,7127.12
0.843, 0.000000,0,-0.001953,7127.12
0.854, 0.003906,0,0,7127.12
0.875, 0.003906,-0.003906,0,7127.12
0.886, 0.000000,-0.001953,-0.001953,7127.12
0.907, 0.000000,-0.001953,-0.001953,7127.12
0.918, 0.000000,0.001953,-0.001953,7126.57
0.94, 0.001953,0,0.001953,7126.57
0.95, 0.000000,-0.001953,0,7126.57
0.97, 0.000000,0,-0.001953,7126.57
0.982,-0.003906,-0.003906,0,7126.57
1.003, 0.000000,-0.001953,0,7126.57
1.013,-0.001953,-0.001953,0,7126.73
1.034, 0.001953,0,0,7126.73
1.045, 0.000000,-0.001953,-0.001953,7126.73
1.065, 0.001953,0,0,7126.73
1.076, 0.001953,-0.001953,-0.001953,7126.73
1.097, 0.001953,0.001953,0,7126.73
1.108, 0.003906,-0.001953,-0.001953,7126.51
1.128, 0.001953,-0.001953,0.001953,7126.51
1.139, 0.000000,-0.001953,-0.001953,7126.51
1.159, 0.001953,-0.003906,-0.001953,7126.51
