0.00000,0.109375,0.101563,9.753906,0.109375,0.101563,9.753906,7106.51
0.03800,0.109375,0.101563,9.753906,0.109375,0.101563,9.753906,7106.51
0.05800,0.001953,-0.003906,0,0.001953,-0.003906,0,7106.18
0.07400,0.109375,0.101563,9.753906,0.109375,0.101563,9.753906,7106.18
0.09500,-0.001953,-0.001953,-0.003906,-0.001953,-0.001953,-0.003906,7106.18
0.11700,0.109375,0.101563,9.792969,0.109375,0.101563,9.792969,7106.18
0.12700,0.003906,0,0,0.003906,0,0,7106.18
0.15800,0.109375,0.101563,9.792969,0.109375,0.101563,9.792969,7106.29
0.17000,0.109375,0.140625,9.789063,0.109375,0.140625,9.789063,7106.29
0.19100,0.001953,-0.001953,0,0.001953,-0.001953,0,7106.29
0.21200,0.109375,0.101563,9.792969,0.109375,0.101563,9.792969,7106.29
0.23300,0.003906,-0.001953,-0.001953,0.003906,-0.001953,-0.001953,7106.63
0.25400,0.109375,0.140625,9.789063,0.109375,0.140625,9.789063,7106.63
0.27600,0.109375,0.101563,9.792969,0.109375,0.101563,9.792969,7106.63
0.29900,0.070312,0.101563,9.789063,0.070312,0.101563,9.789063,7106.63
0.31900,0.109375,0.101563,9.792969,0.109375,0.101563,9.792969,7106.63
0.34000,0.109375,0.101563,9.792969,0.109375,0.101563,9.792969,7107.07
0.36100,0.109375,0.101563,9.792969,0.109375,0.101563,9.792969,7107.07
0.37100,0.109375,0.101563,9.792969,0.109375,0.101563,9.792969,7107.07
0.39200,0.109375,0.101563,9.792969,0.109375,0.101563,9.792969,7107.07
0.41300,0.109375,0.0625,9.792969,0.109375,0.0625,9.792969,7107.07
0.43300,0.109375,0.101563,9.792969,0.109375,0.101563,9.792969,7105.85
0.45400,0.109375,0.140625,9.789063,0.109375,0.140625,9.789063,7105.85
0.47500,0.109375,0.101563,9.792969,0.109375,0.101563,9.792969,7105.85
0.49600,0.109375,0.101563,9.753906,0.109375,0.101563,9.753906,7105.85
0.51600,0.109375,0.101563,9.792969,0.109375,0.101563,9.792969,7105.85
0.53700,0.109375,0.101563,9.792969,0.109375,0.101563,9.792969,7106.46
0.55700,0.109375,0.140625,9.789063,0.109375,0.140625,9.789063,7106.46
0.57900,0.070312,0.101563,9.789063,0.070312,0.101563,9.789063,7106.46
0.60000,0.109375,0.101563,9.792969,0.109375,0.101563,9.792969,7106.46
0.62100,0.109375,0.140625,9.789063,0.109375,0.140625,9.789063,7106.46
0.63100,0.109375,0.101563,9.792969,0.109375,0.101563,9.792969,7106.74
0.65200,0.109375,0.101563,9.792969,0.109375,0.101563,9.792969,7106.74
0.67300,0.109375,0.101563,9.792969,0.109375,0.101563,9.792969,7106.74
0.69300,0.109375,0.0625,9.792969,0.109375,0.0625,9.792969,7106.74
0.71400,0.109375,0.101563,9.792969,0.109375,0.101563,9.792969,7106.91
0.73400,0.001953,-0.001953,-0.001953,0.001953,-0.001953,-0.001953,7106.68
0.75500,0.144531,0.101563,9.792969,0.144531,0.101563,9.792969,7106.68
0.77600,0.109375,0.101563,9.824219,0.109375,0.101563,9.824219,7106.68
0.79700,0.109375,0.101563,9.792969,0.109375,0.101563,9.792969,7106.68
0.81700,0.109375,0.101563,9.753906,0.109375,0.101563,9.753906,7107.24
0.83800,0.144531,0.140625,9.75,0.144531,0.140625,9.75,7107.24
0.86000,0.005859,-0.001953,-0.001953,0.005859,-0.001953,-0.001953,7107.24
0.87100,0.109375,0.101563,9.792969,0.109375,0.101563,9.792969,7107.24
0.89200,0.001953,-0.001953,-0.001953,0.001953,-0.001953,-0.001953,7107.24
0.91300,0.109375,0.101563,9.792969,0.109375,0.101563,9.792969,7106.57
0.93300,0,-0.001953,0.001953,0,-0.001953,0.001953,7106.57
0.95400,0.109375,0.101563,9.824219,0.109375,0.101563,9.824219,7106.57
0.97500,0.001953,0,-0.001953,0.001953,0,-0.001953,7106.57
0.99500,0.109375,0.101563,9.792969,0.109375,0.101563,9.792969,7106.57
1.01600,0.001953,0.001953,-0.003906,0.001953,0.001953,-0.003906,7106.79
