0,-0.121094,0.253906,9.792969
0.013,-0.160156,0.253906,9.753906
0.034,-0.160156,0.253906,9.824219
0.044,-0.160156,0.253906,9.753906
0.064,-0.160156,0.253906,9.753906
0.076,-0.160156,0.253906,9.824219
0.087,-0.121094,0.253906,9.792969
0.097,-0.121094,0.253906,9.792969
0.108,-0.121094,0.253906,9.824219
0.129,-0.121094,0.253906,9.792969
0.139,-0.121094,0.253906,9.792969
0.15,-0.160156,0.253906,9.753906
0.171,-0.121094,0.253906,9.792969
0.182,-0.160156,0.253906,9.792969
0.192,-0.121094,0.253906,9.792969
0.213,-0.160156,0.253906,9.792969
0.223,-0.121094,0.253906,9.792969
0.235,-0.121094,0.253906,9.792969
0.256,-0.160156,0.292969,9.792969
0.267,-0.160156,0.253906,9.792969
0.277,-0.121094,0.21875,9.792969
0.299,-0.121094,0.253906,9.792969
0.31,-0.121094,0.253906,9.792969
0.32,-0.121094,0.253906,9.753906
0.341,-0.121094,0.253906,9.824219
0.352,-0.121094,0.253906,9.792969
0.362,-0.160156,0.21875,9.792969
0.383,-0.160156,0.292969,9.792969
0.394,-0.160156,0.253906,9.753906
0.405,-0.160156,0.292969,9.792969
0.426,-0.160156,0.253906,9.792969
0.437,-0.160156,0.253906,9.792969
0.447,-0.121094,0.253906,9.792969
0.458,-0.160156,0.253906,9.792969
0.479,-0.160156,0.292969,9.792969
0.489,-0.160156,0.292969,9.824219
0.5,-0.121094,0.253906,9.792969
0.521,-0.121094,0.292969,9.792969
0.532,-0.121094,0.253906,9.792969
0.542,-0.121094,0.253906,9.792969
0.553,-0.121094,0.253906,9.792969
0.573,-0.121094,0.253906,9.792969
0.585,-0.121094,0.253906,9.792969
0.595,-0.160156,0.21875,9.753906
0.616,-0.121094,0.253906,9.792969
0.627,-0.082031,0.253906,9.792969
0.638,-0.121094,0.253906,9.792969
0.66,-0.160156,0.253906,9.792969
0.67,-0.121094,0.253906,9.792969
0.681,-0.160156,0.253906,9.792969
0.701,-0.160156,0.253906,9.792969
0.712,-0.160156,0.253906,9.792969
0.722,-0.160156,0.253906,9.792969
0.735,-0.121094,0.253906,9.792969
0.756,-0.160156,0.292969,9.792969
0.766,-0.121094,0.253906,9.792969
0.786,-0.121094,0.253906,9.792969
0.797,-0.121094,0.253906,9.792969
0.808,-0.121094,0.253906,9.792969
0.818,-0.121094,0.253906,9.792969
0.839,-0.121094,0.253906,9.753906
0.85,-0.121094,0.253906,9.792969
0.86,-0.160156,0.253906,9.792969
0.881,-0.121094,0.253906,9.824219
0.891,-0.121094,0.253906,9.792969
0.902,-0.121094,0.253906,9.792969
0.922,-0.121094,0.21875,9.792969
0.933,-0.121094,0.253906,9.753906
0.944,-0.121094,0.253906,9.792969
0.965,-0.160156,0.21875,9.792969
0.975,-0.121094,0.253906,9.792969
0.986,-0.160156,0.253906,9.792969
1.006,-0.160156,0.253906,9.792969
